
Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.01	          10	sigmoid   	     24053
linear 	0.01	          10	sigmoid   	     24690
linear 	0.01	          10	sigmoid   	     13494
linear 	0.01	          10	sigmoid   	      8713
linear 	0.01	          10	sigmoid   	     99999
linear 	0.01	          10	sigmoid   	     29338
linear 	0.01	          10	sigmoid   	     99999
linear 	0.01	          10	sigmoid   	     99999
linear 	0.01	          10	sigmoid   	     81232
linear 	0.01	          10	sigmoid   	     42615
linear 	0.01	          20	sigmoid   	     13760
linear 	0.01	          20	sigmoid   	     17606
linear 	0.01	          20	sigmoid   	     66548
linear 	0.01	          20	sigmoid   	     16808
linear 	0.01	          20	sigmoid   	     13536
linear 	0.01	          20	sigmoid   	     18083
linear 	0.01	          20	sigmoid   	     16827
linear 	0.01	          20	sigmoid   	     12568
linear 	0.01	          20	sigmoid   	     50611
linear 	0.01	          20	sigmoid   	     99999
linear 	0.01	          30	sigmoid   	     12473
linear 	0.01	          30	sigmoid   	     41744
linear 	0.01	          30	sigmoid   	     34988
linear 	0.01	          30	sigmoid   	     99999
linear 	0.01	          30	sigmoid   	     99999
linear 	0.01	          30	sigmoid   	      4332
linear 	0.01	          30	sigmoid   	       106
linear 	0.01	          30	sigmoid   	     99999
linear 	0.01	          30	sigmoid   	      3442
linear 	0.01	          30	sigmoid   	      4237
linear 	0.01	          40	sigmoid   	      3911
linear 	0.01	          40	sigmoid   	      4882
linear 	0.01	          40	sigmoid   	     14704
linear 	0.01	          40	sigmoid   	      4351
linear 	0.01	          40	sigmoid   	     99999
linear 	0.01	          40	sigmoid   	     51883
linear 	0.01	          40	sigmoid   	      3356
linear 	0.01	          40	sigmoid   	     99999
linear 	0.01	          40	sigmoid   	     25925
linear 	0.01	          40	sigmoid   	     99999
linear 	0.01	          50	sigmoid   	      6506
linear 	0.01	          50	sigmoid   	     99999
linear 	0.01	          50	sigmoid   	      9906
linear 	0.01	          50	sigmoid   	     83247
linear 	0.01	          50	sigmoid   	     32323
linear 	0.01	          50	sigmoid   	      3902
linear 	0.01	          50	sigmoid   	     11212
linear 	0.01	          50	sigmoid   	     99999
linear 	0.01	          50	sigmoid   	     99999
linear 	0.01	          50	sigmoid   	     99999
linear 	0.01	          60	sigmoid   	      6637
linear 	0.01	          60	sigmoid   	     11262
linear 	0.01	          60	sigmoid   	     34872
linear 	0.01	          60	sigmoid   	      4625
linear 	0.01	          60	sigmoid   	     99999
linear 	0.01	          60	sigmoid   	     21435
linear 	0.01	          60	sigmoid   	     99999
linear 	0.01	          60	sigmoid   	     99999
linear 	0.01	          60	sigmoid   	     99999
linear 	0.01	          60	sigmoid   	     41865
linear 	0.01	          70	sigmoid   	      4698
linear 	0.01	          70	sigmoid   	     27793
linear 	0.01	          70	sigmoid   	     99999
linear 	0.01	          70	sigmoid   	     91337
linear 	0.01	          70	sigmoid   	      6011
linear 	0.01	          70	sigmoid   	     99999
linear 	0.01	          70	sigmoid   	     99999
linear 	0.01	          70	sigmoid   	     55177
linear 	0.01	          70	sigmoid   	     39504
linear 	0.01	          70	sigmoid   	     99999
linear 	0.01	          80	sigmoid   	      6338
linear 	0.01	          80	sigmoid   	     99999
linear 	0.01	          80	sigmoid   	      7003
linear 	0.01	          80	sigmoid   	     11488
linear 	0.01	          80	sigmoid   	     56080
linear 	0.01	          80	sigmoid   	     16207
linear 	0.01	          80	sigmoid   	      3259
linear 	0.01	          80	sigmoid   	     32178
linear 	0.01	          80	sigmoid   	      1491
linear 	0.01	          80	sigmoid   	     99999
linear 	0.01	          90	sigmoid   	     78831
linear 	0.01	          90	sigmoid   	     17218
linear 	0.01	          90	sigmoid   	     87475
linear 	0.01	          90	sigmoid   	     99999
linear 	0.01	          90	sigmoid   	      1847
linear 	0.01	          90	sigmoid   	     17572
linear 	0.01	          90	sigmoid   	     99999
linear 	0.01	          90	sigmoid   	     99999
linear 	0.01	          90	sigmoid   	      4235
linear 	0.01	          90	sigmoid   	     11207
linear 	0.01	         100	sigmoid   	      4802
linear 	0.01	         100	sigmoid   	     53274
linear 	0.01	         100	sigmoid   	     99999
linear 	0.01	         100	sigmoid   	     32789
linear 	0.01	         100	sigmoid   	     20737
linear 	0.01	         100	sigmoid   	     99307
linear 	0.01	         100	sigmoid   	     99999
linear 	0.01	         100	sigmoid   	     72004
linear 	0.01	         100	sigmoid   	      9509
linear 	0.01	         100	sigmoid   	      2578

Experiment: hidden_dim
Dataset	lr   	hidden units	activation	best epoch
linear 	0.07	          10	sigmoid   	      3437
linear 	0.07	          10	sigmoid   	      3528
linear 	0.07	          10	sigmoid   	      1928
linear 	0.07	          10	sigmoid   	      1247
linear 	0.07	          10	sigmoid   	     59643
linear 	0.07	          10	sigmoid   	      4191
linear 	0.07	          10	sigmoid   	     36898
linear 	0.07	          10	sigmoid   	     99999
linear 	0.07	          10	sigmoid   	     11605
linear 	0.07	          10	sigmoid   	      6090
linear 	0.07	          20	sigmoid   	      1966
linear 	0.07	          20	sigmoid   	      2516
linear 	0.07	          20	sigmoid   	      9507
linear 	0.07	          20	sigmoid   	      2401
linear 	0.07	          20	sigmoid   	      1935
linear 	0.07	          20	sigmoid   	      2584
linear 	0.07	          20	sigmoid   	      2405
linear 	0.07	          20	sigmoid   	      1794
linear 	0.07	          20	sigmoid   	      7230
linear 	0.07	          20	sigmoid   	     20109
linear 	0.07	          30	sigmoid   	      1783
linear 	0.07	          30	sigmoid   	      5964
linear 	0.07	          30	sigmoid   	      4999
linear 	0.07	          30	sigmoid   	     37089
linear 	0.07	          30	sigmoid   	     23010
linear 	0.07	          30	sigmoid   	       620
linear 	0.07	          30	sigmoid   	        14
linear 	0.07	          30	sigmoid   	     48090
linear 	0.07	          30	sigmoid   	       493
linear 	0.07	          30	sigmoid   	       607
linear 	0.07	          40	sigmoid   	       559
linear 	0.07	          40	sigmoid   	     13886
linear 	0.07	          40	sigmoid   	      2102
linear 	0.07	          40	sigmoid   	       622
linear 	0.07	          40	sigmoid   	     53400
