episode	mean	max
1	1.392	1392
2	2.388	1392
3	4.496	2108
4	7.908	3412
5	11.48	3572
6	13.192	3572
7	18.372	5180
8	20.74	5180
9	24.66	5180
10	27.992	5180
11	28.568	5180
12	29.08	5180
13	31.468	5180
14	34.636	5180
15	40.432	5796
16	42.428	5796
17	45.512	5796
18	49.448	5796
19	50.924	5796
20	54.472	5796
21	57.512	5796
22	60.832	5796
23	62.692	5796
24	66.868	5796
25	69.24	5796
26	75.952	6712
27	79.912	6712
28	83.616	6712
29	88.364	6712
30	91.304	6712
31	94.7	6712
32	101.348	6712
33	106.196	6712
34	109.968	6712
35	115.28	6712
36	119.132	6712
37	121.88	6712
38	124.996	6712
39	129.892	6712
40	132.288	6712
41	137.78	6712
42	143.704	6712
43	150.06	6712
44	151.232	6712
45	155	6712
46	156.584	6712
47	159.032	6712
48	164.068	6712
