episode	mean	max
1	1.488	1488
2	5.308	3820
3	7.712	3820
4	9.76	3820
5	11.208	3820
6	14.352	3820
7	16.468	3820
8	19.248	3820
9	20.56	3820
10	23.356	3820
11	25.016	3820
12	28.492	3820
13	30.148	3820
14	35.28	5132
15	40.312	5132
16	43.404	5132
17	46.936	5132
18	52.528	5592
19	55.86	5592
20	58.964	5592
21	60.504	5592
22	63.632	5592
23	65.508	5592
24	67.744	5592
25	70.996	5592
26	75.852	5592
27	79.028	5592
28	82.064	5592
29	89.872	7808
30	93.912	7808
31	99.328	7808
32	105.772	7808
33	108.248	7808
34	112.776	7808
35	116.616	7808
36	121.708	7808
37	122.924	7808
38	125.832	7808
39	129.08	7808
40	132.144	7808
41	134.464	7808
42	137.564	7808
43	144.644	7808
44	150.764	7808
45	153.736	7808
46	154.508	7808
47	159.532	7808
48	161.132	7808
49	162.8	7808
50	169.944	7808
51	172.924	7808
52	176.008	7808
53	183.784	7808
54	184.368	7808
55	186.216	7808
56	190.392	7808
57	195.832	7808
58	197.672	7808
59	199.62	7808
60	204.388	7808
61	207.868	7808
62	210.256	7808
63	214.828	7808
64	217.312	7808
65	218.816	7808
66	221.916	7808
67	224.812	7808
68	230.152	7808
69	235.768	7808
70	241.448	7808
71	245.656	7808
72	248.3	7808
73	250.48	7808
74	261.736	11256
75	262.5	11256
76	269.78	11256
77	270.82	11256
78	273.688	11256
79	276.736	11256
80	280.096	11256
81	280.912	11256
82	284.08	11256
83	285.428	11256
84	288.7	11256
85	294.82	11256
86	298.448	11256
87	301.328	11256
88	304.7	11256
89	307.58	11256
90	310.64	11256
91	314.116	11256
92	319.148	11256
93	324.204	11256
94	327.364	11256
95	333.484	11256
96	336.684	11256
97	339.856	11256
98	346.72	11256
99	352.412	11256
100	355.136	11256
101	357.604	11256
102	365.08	11256
103	372.456	11256
104	375.488	11256
105	378.548	11256
106	382.412	11256
107	383.596	11256
108	388.148	11256
109	388.88	11256
110	392.056	11256
111	395.468	11256
112	397.712	11256
113	400.912	11256
114	403.064	11256
115	408.052	11256
116	411.92	11256
117	417.312	11256
118	420.388	11256
119	421.88	11256
120	428.82	11256
121	432.1	11256
122	438.592	11256
123	440.98	11256
124	444.192	11256
125	448.116	11256
126	454.2	11256
127	457.68	11256
128	459.812	11256
129	461.132	11256
130	462.708	11256
131	465.212	11256
132	467.024	11256
133	469.212	11256
134	471.708	11256
135	476.348	11256
136	479.528	11256
137	482.436	11256
138	485.144	11256
139	488.748	11256
140	491.972	11256
141	494.132	11256
142	497.456	11256
143	499.884	11256
144	504.096	11256
145	505.592	11256
146	508.172	11256
147	513.776	11256
148	516.356	11256
149	518.644	11256
150	523.916	11256
151	527.676	11256
152	532.964	11256
153	534.576	11256
154	538.16	11256
155	541.224	11256
156	548.1	11256
157	549.808	11256
158	553.344	11256
159	555.976	11256
160	559.024	11256
161	562.52	11256
162	567.696	11256
163	570.468	11256
164	573.256	11256
165	575.384	11256
166	580.9	11256
167	582.616	11256
168	584.68	11256
169	586.956	11256
170	592.4	11256
171	599.256	11256
172	602.808	11256
173	609.14	11256
174	613.024	11256
175	616.428	11256
176	619.664	11256
177	623.604	11256
178	629.972	11256
179	635.104	11256
180	641.08	11256
181	644.836	11256
182	647.324	11256
183	650.768	11256
184	654.312	11256
185	660.62	11256
186	665.72	11256
187	668.996	11256
188	672.908	11256
189	674.084	11256
190	677.448	11256
191	678.916	11256
192	680.872	11256
193	684.068	11256
194	686.948	11256
195	690.228	11256
196	693.76	11256
197	697.712	11256
198	699.128	11256
199	705.104	11256
200	708.54	11256
201	709.292	11256
202	712.392	11256
203	717.784	11256
204	723.66	11256
205	729.392	11256
206	731.404	11256
207	734.492	11256
208	736.608	11256
209	739.868	11256
210	745.16	11256
211	750.576	11256
212	755.928	11256
213	757.376	11256
214	760.476	11256
215	762.86	11256
216	768.948	11256
217	775.7	11256
218	778.776	11256
219	782.312	11256
220	787.66	11256
221	790.212	11256
222	797.212	11256
223	801.92	11256
224	804.208	11256
225	806.832	11256
226	813.144	11256
227	815.636	11256
228	821.128	11256
229	824.168	11256
230	829.896	11256
231	831.74	11256
232	839.68	11256
233	843.564	11256
234	846.796	11256
235	848.412	11256
236	853.988	11256
237	856.068	11256
238	859.38	11256
239	865.052	11256
240	866.544	11256
241	871.496	11256
242	874.972	11256
243	879.084	11256
244	886.276	11256
245	888.708	11256
246	892.704	11256
247	896.536	11256
248	899.028	11256
249	903.876	11256
250	907.548	11256
251	911.46	11256
252	917.228	11256
253	920.6	11256
254	922.864	11256
255	925.108	11256
256	930.808	11256
257	932.896	11256
258	936.248	11256
259	940.036	11256
260	941.94	11256
261	945.328	11256
262	952.688	11256
263	959.72	11256
264	963.332	11256
265	974.184	11256
266	977.596	11256
267	982.688	11256
268	986.292	11256
269	996.04	11256
270	1002.56	11256
271	1007.42	11256
272	1012.95	11256
273	1020.75	11256
274	1024.05	11256
275	1027.94	11256
276	1031	11256
277	1036.85	11256
278	1042.55	11256
279	1045.98	11256
280	1053.27	11256
281	1058.48	11256
282	1062.09	11256
283	1069.47	11256
284	1074.78	11256
285	1080.37	11256
286	1083.83	11256
287	1089.84	11256
288	1096.37	11256
289	1102.08	11256
290	1102.76	11256
291	1105.33	11256
292	1109.1	11256
293	1116.28	11256
294	1128.6	12316
295	1134.94	12316
296	1136.56	12316
297	1142.22	12316
298	1145.72	12316
299	1149.71	12316
300	1153.02	12316
301	1154.54	12316
302	1160.3	12316
303	1165	12316
304	1172.73	12316
305	1179.58	12316
306	1183.98	12316
307	1185.54	12316
308	1188.67	12316
309	1200.94	12316
310	1209.39	12316
311	1215.8	12316
312	1219.25	12316
313	1222.23	12316
314	1227.88	12316
315	1229.58	12316
316	1235.21	12316
317	1238.56	12316
318	1245.16	12316
319	1252.25	12316
320	1257.8	12316
321	1262.02	12316
322	1270.7	12316
