Model   	Learning Rate	Best Epoch	Test Acc.	F1_0 	F1_1 	F1_2 	F1_3 	F1_4 	F1_Macro
resnet18	      1.0E-03	        14	   0.7340	0.8467	0.0000	0.0164	0.0000	0.0149	0.1756
resnet50	      1.0E-03	         6	   0.7321	0.8457	0.0000	0.0000	0.0000	0.0139	0.1719
resnet18	      1.0E-03	        10	   0.8216	0.9096	0.0275	0.6030	0.5115	0.5474	0.5198
resnet50	      1.0E-03	         5	   0.8228	0.9103	0.1349	0.6054	0.4479	0.5714	0.5340

=== lr5e-4 ===
resnet18	      5.0E-04	        19	   0.7567	0.8684	0.0000	0.3240	0.1379	0.2543	0.3169
resnet18	      5.0E-04	        13	   0.8127	0.9043	0.0041	0.5832	0.4693	0.4872	0.4896
resnet50	      5.0E-04	        18	   0.7431	0.8595	0.0000	0.1861	0.1089	0.0395	0.2388
resnet50	      5.0E-04	        14	   0.8016	0.8982	0.0000	0.5527	0.4106	0.4279	0.4579
